Danville,1,Buenos Aires
Danville,4,Luxemburgo
Danville,6,Varsovia
Danville,7,Helsinki
Danville,3,Wellington
Buenos Aires,3,Brasilia
Buenos Aires,1,Lima
Buenos Aires,4,Asuncion
Buenos Aires,1,Lisboa
Berlin,6,Varsovia
Berlin,1,Roma
Berlin,3,Viena
Berlin,1,Amsterdam
Berlin,3,Luxemburgo
Berlin,2,Viena
Berlin,7,Berlin
Berlin,4,Amsterdam
Berlin,2,Luxemburgo
Berlin,3,Bogota
Berlin,3,Asuncion
Berlin,5,Caracas
Berlin,6,Washington D.C
Berlin,7,Puerto Principe
Berlin,4,Ciudad de Mexico
Berlin,5,Bogota
Berlin,2,Lima
Berlin,2,Madrid
Bogota,1,Lima
Bogota,1,Seul
Bogota,4,Caracas
Bogota,3,Panama
Moscu,1,Kiev
Moscu,2,Pekin
Varsovia,6,Danville
Varsovia,6,Kiev
Lisboa,1,Madrid
Londres,2,Paris
Londres,3,Amsterdam
Londres,2,Estocolmo
Bucarest,1,Budapest
Bucarest,1,Belgrado
Bucarest,2,Kiev
Belgrado,3,Atenas
Manila,1,Praia
Manila,3,Kenia
Manila,1,Yakarta
Manila,6,Tokio
Manila,10,Wellington
Paris,5,Madrid
Paris,7,Luxemburgo
Paris,3,Roma
Bangkok,4,Pekin
Bangkok,2,Kuala Lumpur
Bangkok,8,Nueva Delhi
Ankara,6,Atenas
Ankara,3,Kuala Lumpur
Pekin,4,Nueva Delhi
Seul,2,Moscu
Seul,1,Pekin
Santiago de Chile,3,Lima
Panama,9,San Jose
Tokio,1,Seul
Amsterdam,3,Viena
Doha,10,Oslo
Doha,9,Praia
Doha,7,Kenia
Ottawa,1,Washington D.C
Ottawa,3,Wellington
Viena,2,Berna
Viena,8,Roma
Kuala Lumpur,5,Yakarta
Ciudad de Mexico,4,Ciudad de Guatemala
Ciudad de Mexico,1,Washington D.C
Roma,3,Berna
Helsinki,3,Estocolmo
Helsinki,9,Oslo
Estocolmo,2,Oslo
Ciudad de Guatemala,1,San Jose
Puerto Principe,7,San Jose
Nueva Delhi,2,Kenia
Nairobi,1,Oslo
Budapest,1,Viena